StoreNo,TimeStamp,TotalValueEclGST,NumberOfChicken,NumberApple,NumberOfBanana,NumberOfBeer,HourOfDay,MinuteOfHour
45479,2017/12/13 16:42:35,97,3,10,3,3,18,34
52286,2017/11/27 0:54:57,159,11,13,2,5,20,59
75129,2018/7/2 18:19:14,78,4,9,1,2,12,12
82310,2018/4/12 15:58:05,181,7,10,8,7,22,2
51044,2018/5/16 12:45:01,169,10,11,5,5,7,2
81764,2018/4/14 8:23:12,138,7,13,3,4,23,0
63741,2018/8/16 20:46:34,164,16,11,3,0,2,10
25554,2018/2/6 10:48:57,153,8,10,5,5,12,44
21471,2018/4/2 22:50:24,168,8,13,6,4,15,41
37785,2018/6/9 22:24:33,182,9,15,6,4,14,43
37675,2017/11/28 3:16:06,126,10,12,1,2,16,21
29894,2018/5/5 10:19:40,155,6,12,7,3,10,23
70323,2018/3/1 3:58:33,151,10,11,4,3,0,34
89417,2018/5/28 10:22:22,137,9,9,4,3,16,20
76660,2018/6/18 9:44:57,174,8,13,8,2,23,17
67031,2018/8/22 6:25:39,137,4,18,2,5,17,43
76221,2018/9/16 13:01:32,146,5,12,6,4,10,10
23524,2017/12/19 4:39:00,205,11,15,8,3,9,13
58270,2018/10/3 18:40:31,137,5,12,3,7,14,8
60983,2018/9/14 18:13:12,88,3,11,2,2,0,18
70446,2018/8/23 4:51:36,156,7,13,4,6,14,33
92712,2018/5/18 3:30:42,159,6,12,5,7,0,53
30447,2018/6/26 0:05:03,203,10,16,3,11,5,52
28828,2018/4/1 1:52:38,185,8,16,6,5,7,46
95860,2018/1/4 22:00:44,146,6,10,5,6,2,13
28195,2018/8/4 10:28:11,109,4,12,4,1,5,18
77922,2018/8/3 12:49:35,165,9,10,7,3,15,8
56417,2018/2/26 23:21:12,211,16,11,7,3,4,52
66779,2018/11/3 18:11:24,163,9,15,3,5,2,43
17673,2018/2/24 16:41:09,224,10,15,8,8,11,19
52937,2018/11/12 19:46:01,100,2,11,3,4,15,52
53765,2018/8/8 10:47:56,197,11,16,4,7,19,38
81608,2018/5/23 16:46:47,87,5,6,1,5,11,10
81778,2018/5/25 17:03:39,211,7,10,13,5,10,54
31255,2018/8/13 1:23:31,161,7,16,5,3,6,27
88252,2018/10/16 16:01:51,115,4,6,4,7,14,56
33992,2018/9/18 23:56:09,160,10,14,3,4,3,44
57544,2018/5/30 19:33:25,130,9,10,2,4,17,27
79265,2018/4/7 22:01:00,125,9,10,2,3,11,20
33939,2017/12/7 19:38:44,136,5,12,6,2,6,45
01984,2018/10/27 22:05:04,175,9,12,6,5,20,28
03516,2018/8/25 12:33:30,153,4,17,2,9,9,54
21439,2017/12/22 4:45:37,196,16,5,5,8,5,44
01559,2017/12/14 7:13:57,195,7,16,8,5,1,51
71305,2018/6/27 18:46:35,168,8,11,7,4,18,40
08863,2018/10/21 2:26:37,141,9,14,2,3,11,42
03505,2018/7/20 16:04:53,261,14,12,13,5,16,42
08156,2018/11/12 6:20:23,165,11,8,4,7,6,9
50341,2018/11/11 6:58:14,200,9,23,3,6,12,15
11039,2017/12/4 10:06:58,153,5,9,9,3,21,3
22426,2018/7/17 22:53:16,145,10,6,7,1,11,57
99773,2018/2/21 21:09:01,120,5,10,5,2,13,27
62559,2018/4/29 22:18:27,122,7,5,5,4,9,54
60713,2018/5/1 3:45:17,174,5,13,9,4,8,51
14592,2018/7/20 3:01:39,164,11,10,6,2,9,1
67363,2017/12/14 19:22:13,138,7,13,3,4,13,9
07929,2018/5/21 7:42:05,192,10,14,7,4,17,24
79414,2018/1/21 9:35:05,150,6,15,3,6,19,49
71690,2018/4/19 5:45:17,154,8,12,6,2,17,10
50413,2018/5/27 15:18:39,184,7,8,10,6,8,5
23515,2018/3/21 4:59:40,146,7,13,4,4,23,42
37152,2018/9/29 4:06:58,160,4,18,3,8,14,24
64806,2018/3/6 5:13:32,187,11,14,5,5,16,52
85133,2018/3/29 3:55:23,122,5,13,5,0,17,17
34040,2018/8/8 1:34:50,160,9,17,1,6,0,15
13901,2018/2/2 22:41:11,153,12,7,6,1,23,57
58612,2017/12/31 17:43:53,133,7,11,4,3,1,50
18334,2018/2/9 0:30:48,182,14,7,5,6,6,3
31274,2018/3/4 19:10:55,141,6,15,5,1,13,6
86409,2018/5/26 5:06:32,135,7,11,3,5,11,33
29444,2018/10/15 19:27:08,163,9,9,6,5,6,51
94849,2017/11/22 18:25:09,128,6,8,5,4,2,58
43014,2018/5/29 8:38:57,176,9,12,8,2,12,15
10011,2018/8/11 19:13:23,158,11,12,3,4,19,20
00763,2018/8/5 10:15:26,151,8,12,5,3,21,5
74553,2018/7/7 8:14:51,86,5,9,0,4,12,57
64165,2018/8/1 0:03:14,209,9,20,5,7,2,23
61851,2018/1/13 11:37:35,188,11,11,6,6,13,47
46067,2018/1/6 7:18:40,153,6,11,6,5,18,59
10372,2018/6/1 12:06:32,178,7,13,8,4,20,50
09735,2018/3/26 10:08:49,164,9,13,6,2,20,27
02393,2018/5/17 10:53:34,134,8,7,6,2,13,40
19857,2017/12/9 8:26:55,192,10,14,7,4,19,42
40338,2018/2/14 5:11:48,137,10,8,5,1,6,44
30546,2018/1/15 1:57:40,141,8,11,3,5,11,27
71553,2018/1/12 7:32:06,186,8,15,6,6,16,22
74318,2018/7/25 14:10:38,134,6,14,4,2,9,1
80685,2018/9/25 2:20:49,104,4,9,3,4,11,10
06646,2017/12/28 20:39:36,143,5,12,5,5,14,11
07066,2018/10/26 19:19:12,181,9,20,4,3,7,20
41975,2018/2/4 21:41:04,194,8,13,8,6,21,6
86646,2018/9/11 16:24:11,160,9,13,3,6,20,26
03241,2018/4/7 10:30:36,150,7,8,7,4,5,34
39522,2018/6/19 3:29:38,147,7,14,3,5,23,45
47361,2018/4/6 1:54:16,160,10,8,6,4,14,54
55309,2018/3/1 6:21:55,79,7,4,2,1,8,42
65392,2018/2/4 22:35:28,158,11,16,1,4,13,52
07166,2018/11/20 15:41:06,145,7,12,5,3,20,41
13078,2018/1/21 17:33:14,100,5,9,3,2,9,25
56581,2017/12/24 8:18:51,159,15,5,3,5,14,59
94766,2018/4/22 23:48:06,142,8,11,5,2,19,17
90659,2018/10/27 11:45:47,168,8,15,5,4,13,45
85537,2018/6/2 14:19:14,156,11,9,3,6,18,25
39232,2018/10/28 15:10:51,152,8,13,4,4,17,30
17869,2018/7/29 1:38:58,168,7,15,7,2,9,8
95227,2018/9/14 12:22:17,212,13,14,6,6,15,7
53113,2018/11/18 8:21:06,159,10,10,3,7,13,29
57096,2017/12/31 7:47:44,141,9,10,4,3,22,51
61185,2018/3/1 2:43:31,173,13,8,6,3,0,40
06472,2018/10/13 21:55:35,212,14,19,4,4,3,49
79191,2018/8/3 20:17:39,141,6,16,2,5,19,56
42585,2018/6/25 1:54:47,157,7,16,2,7,5,36
87301,2018/9/15 1:48:24,136,6,16,2,4,8,39
44696,2018/8/7 3:20:25,166,10,10,7,2,16,57
70737,2018/7/19 18:18:31,181,8,13,7,5,2,2
05790,2017/12/16 15:47:35,196,11,15,5,6,18,29
91515,2018/7/2 6:43:38,124,7,14,2,2,12,51
04426,2018/11/1 15:04:48,127,8,10,3,3,18,59
56475,2018/10/2 2:42:45,199,16,7,5,7,0,31
72206,2018/8/1 12:55:10,108,7,4,5,2,19,45
95857,2018/9/6 18:02:43,115,6,12,2,3,2,8
27449,2017/12/13 23:33:45,139,7,11,6,1,16,26
04868,2017/12/6 6:54:24,196,8,14,9,4,9,1
07690,2018/11/6 18:11:44,145,7,14,4,3,11,2
32041,2017/12/29 23:23:42,198,6,19,7,6,0,23
36901,2018/10/21 14:14:16,144,11,13,2,2,5,21
36651,2018/6/23 0:02:33,154,6,12,5,6,14,37
15285,2018/1/1 15:09:02,147,7,14,3,5,19,34
34856,2017/11/30 14:07:23,132,4,12,5,4,17,22
61964,2018/8/25 4:32:55,198,13,17,4,4,6,39
09107,2018/3/26 19:44:18,245,12,15,11,5,22,20
77236,2018/10/20 6:32:40,101,3,9,4,3,0,58
98781,2018/3/4 18:18:48,232,11,20,7,6,11,48
43853,2018/2/24 8:43:49,136,6,10,5,4,20,56
72142,2018/3/19 7:16:13,114,5,9,6,0,1,50
05697,2018/8/29 5:34:17,165,12,14,4,1,0,47
82201,2018/7/22 10:13:24,146,8,12,5,2,3,36
09702,2018/11/9 17:19:27,152,7,14,3,6,1,25
35213,2018/6/10 4:24:31,115,6,8,4,3,3,48
88124,2018/7/25 1:41:54,195,10,16,7,3,17,18
62342,2018/3/21 15:59:45,191,9,12,8,5,12,25
00391,2018/5/28 14:42:15,183,14,11,5,3,20,26
80845,2018/4/27 5:42:35,160,8,9,7,4,15,15
45086,2018/10/29 2:39:18,192,14,12,5,4,23,10
13701,2018/4/1 5:26:43,147,7,14,3,5,2,49
43211,2017/12/21 19:19:53,135,5,10,5,5,15,59
06506,2018/8/5 1:32:06,160,6,12,7,4,18,21
06415,2018/11/16 2:00:49,207,16,12,6,3,11,51
74048,2018/5/13 2:03:57,183,11,15,4,5,12,3
60347,2017/12/1 20:23:43,145,6,13,4,5,2,13
68547,2018/6/8 2:52:58,220,14,19,5,4,3,31
82089,2018/7/7 17:53:51,163,4,12,7,7,20,34
96019,2018/2/12 8:13:30,211,7,18,9,5,17,18
87567,2017/11/27 23:46:48,159,9,10,5,5,16,53
54227,2018/9/2 1:05:08,160,9,10,7,2,12,36
48914,2018/7/26 16:23:51,124,7,10,4,2,3,25
78607,2017/12/13 19:05:28,175,7,8,7,9,5,49
92736,2018/11/12 16:53:07,176,11,15,5,2,15,27
88498,2018/8/1 4:35:12,211,10,14,10,3,20,57
11896,2018/9/3 9:04:03,131,8,13,2,3,12,5
20581,2018/7/25 7:04:41,152,7,19,3,2,23,20
17623,2018/10/26 6:09:34,170,7,8,7,8,2,8
62058,2018/10/17 19:11:01,154,7,17,3,4,1,58
51092,2018/5/9 23:39:47,176,13,14,4,2,0,28
70768,2018/4/22 8:44:27,147,7,8,6,5,4,40
02193,2018/8/2 10:42:21,175,12,6,8,3,15,26
28069,2018/11/16 4:27:18,151,12,4,6,3,6,53
71595,2018/11/18 7:40:58,122,7,9,3,4,14,51
41606,2018/5/22 17:37:50,162,9,12,5,4,9,0
81666,2018/3/10 5:17:04,180,11,13,4,6,2,8
10154,2018/1/12 11:04:05,134,4,12,4,6,18,18
67478,2018/1/4 4:18:27,169,10,13,4,5,8,30
38235,2017/12/21 13:35:31,119,7,12,3,1,10,35
86752,2018/4/29 4:55:06,142,10,12,3,2,12,11
54484,2018/1/1 0:04:43,108,6,11,1,4,0,2
19963,2018/11/8 16:44:24,83,4,9,1,3,2,21
21020,2018/10/7 7:01:24,236,11,15,10,6,23,40
99377,2018/4/10 18:36:35,155,5,13,6,5,23,43
05851,2018/8/16 13:14:57,143,8,10,5,3,23,28
32602,2017/12/21 18:49:46,155,4,18,3,7,14,37
77775,2018/8/5 1:15:58,180,5,17,9,2,0,37
98923,2017/12/25 21:12:15,176,12,11,5,4,22,8
19596,2018/2/7 15:22:31,143,7,17,1,5,10,57
04984,2017/11/29 5:36:11,168,7,15,7,2,6,30
40410,2018/3/10 19:47:14,193,12,9,5,9,6,38
68838,2018/6/27 14:32:22,174,10,18,4,2,9,53
70358,2017/12/27 8:22:35,151,5,9,5,9,23,51
03160,2017/12/7 4:05:52,151,8,10,6,3,22,14
40501,2018/9/11 18:22:42,152,6,12,6,4,3,6
49424,2018/8/16 5:57:17,213,8,21,7,5,1,2
83685,2018/5/6 2:59:36,174,9,13,6,4,18,55
02776,2018/2/1 10:55:25,139,12,7,3,3,22,33
46697,2018/11/5 4:52:20,157,5,9,7,7,12,51
94407,2018/7/2 0:51:55,158,9,11,5,4,22,13
12302,2018/11/19 0:30:44,150,6,16,5,2,5,35
08837,2018/8/15 11:05:01,163,7,14,5,5,5,52
21211,2017/12/19 15:53:10,158,9,11,5,4,23,22
14810,2018/7/17 18:57:34,171,13,12,5,1,7,28
23927,2017/12/21 18:36:25,130,8,14,2,2,9,51
46328,2018/2/12 13:51:24,145,7,9,4,7,8,22
42033,2018/5/12 2:08:15,131,9,12,3,1,1,25
06959,2018/5/31 1:37:18,171,14,12,3,3,4,0
90208,2018/8/16 6:39:37,167,6,11,9,3,17,4
46715,2018/4/16 17:49:17,200,10,14,8,4,0,10
90086,2018/11/10 6:01:10,96,4,9,2,4,15,19
55402,2018/9/24 1:12:45,142,8,5,8,2,15,39
02088,2018/4/29 6:57:41,212,11,13,8,6,12,48
06723,2018/2/8 3:04:57,195,7,10,11,5,7,55
85692,2018/11/9 2:12:00,184,12,7,8,4,19,35
80644,2018/11/14 9:26:09,137,8,7,7,1,8,11
98767,2018/6/17 21:48:35,143,5,10,6,5,21,1
23980,2018/9/8 17:33:52,188,12,12,6,4,5,52
20478,2018/1/31 8:43:45,181,9,16,6,3,6,0
00805,2018/2/10 2:06:34,178,8,15,5,6,8,12
40335,2018/5/2 3:44:31,173,9,15,3,7,6,30
39100,2018/4/19 6:47:21,159,10,11,5,3,10,24
79578,2018/3/30 0:27:09,194,12,18,5,2,6,24
45445,2018/5/1 16:03:28,112,6,8,3,4,3,47
46214,2018/3/28 4:38:15,162,9,14,4,4,7,2
62410,2018/1/31 20:07:43,165,4,13,8,5,5,55
63621,2018/1/31 17:50:32,191,8,15,6,7,14,21
29726,2018/5/17 13:15:26,164,10,11,5,4,2,46
60463,2018/5/10 17:14:33,190,9,7,11,4,19,37
83714,2018/5/7 20:13:33,149,8,12,6,1,15,37
49419,2017/12/7 17:57:39,148,9,7,7,2,10,37
81061,2018/10/29 15:44:41,148,4,16,5,4,5,44
47325,2018/3/12 17:21:06,144,6,18,2,4,10,20
30259,2018/9/16 23:40:13,198,4,15,13,2,13,9
35619,2018/2/6 7:03:52,163,12,11,4,3,16,55
08971,2018/3/19 14:00:39,207,12,11,7,7,14,17
51152,2018/3/29 14:02:35,139,9,7,4,5,21,2
51529,2018/1/25 10:13:55,146,5,14,5,4,6,43
68803,2018/9/10 9:03:17,125,8,12,3,1,12,9
59436,2018/6/26 7:28:44,124,8,15,2,0,23,59
85747,2018/1/18 9:23:53,157,8,12,7,1,7,19
77933,2018/11/6 12:30:40,183,7,8,8,9,1,12
65399,2018/10/3 9:16:11,138,6,11,6,2,10,10
72287,2017/12/31 13:46:11,117,8,5,3,5,20,26
13512,2017/12/21 10:28:32,129,6,9,4,5,22,26
19070,2018/9/3 16:47:35,183,12,12,6,3,2,32
73830,2018/2/1 10:58:13,163,7,11,9,1,12,0
40862,2018/6/30 23:23:02,151,10,11,4,3,22,34
71238,2018/2/4 16:33:37,210,11,18,9,0,12,55
27616,2018/6/16 18:20:06,126,8,7,5,2,10,53
68403,2018/10/28 9:42:14,197,12,13,6,5,0,59
08365,2018/1/14 20:50:01,140,4,12,6,4,14,5
05166,2018/4/2 1:59:46,180,11,11,5,6,6,3
52274,2018/2/16 19:36:36,206,10,13,8,6,1,12
75214,2018/8/18 17:41:23,169,13,11,4,3,2,6
07586,2018/3/11 14:24:47,142,6,11,4,6,9,37
86788,2018/9/5 21:38:24,139,6,10,6,3,18,25
90858,2018/3/17 2:29:14,129,9,7,4,3,15,36
06146,2018/9/13 0:33:12,134,4,15,5,2,0,13
10534,2018/9/26 11:48:22,150,6,8,9,2,11,7
42419,2018/9/30 16:01:24,202,11,17,6,4,3,44
89689,2018/4/2 12:20:11,105,4,13,3,1,22,52
30145,2018/9/23 5:36:55,120,6,11,5,0,4,2
35249,2018/8/12 14:21:54,98,4,10,3,2,15,21
37167,2018/8/3 12:40:36,142,8,11,5,2,7,11
16643,2018/6/30 1:30:39,170,8,9,7,6,21,56
65630,2018/5/18 7:42:25,157,11,9,5,3,9,34
84386,2018/8/13 22:44:21,193,13,12,4,7,0,39
98527,2017/12/20 3:17:51,235,11,18,9,5,22,50
66013,2017/12/19 4:31:10,190,9,9,10,4,11,47
91561,2018/2/24 17:22:25,123,5,9,4,5,18,54
61782,2018/6/19 1:55:59,171,9,14,7,1,10,19
65737,2018/1/29 16:10:57,131,6,12,4,3,22,49
28501,2018/5/9 14:37:17,202,15,7,8,4,19,59
21560,2018/5/15 20:29:09,127,8,8,4,3,8,29
36943,2018/8/11 21:26:28,163,9,10,8,1,8,47
51778,2018/6/26 18:33:29,139,7,11,6,1,18,10
80395,2018/1/3 3:42:14,101,4,9,2,5,10,36
49713,2018/7/4 4:11:39,127,6,11,4,3,6,23
98283,2018/9/7 3:00:52,107,5,12,3,1,4,46
05027,2018/1/1 7:00:15,104,2,12,3,4,3,51
20813,2018/9/25 11:39:30,126,6,8,6,2,20,59
96447,2018/8/1 14:51:23,143,6,9,7,3,7,42
00656,2018/5/1 3:48:18,147,6,10,7,3,6,33
99125,2018/1/15 0:46:39,117,2,12,4,5,15,13
27644,2018/8/31 13:24:02,123,4,15,3,3,22,37
34304,2018/11/16 18:59:25,194,10,12,7,6,22,18
44713,2018/11/16 8:10:23,207,7,19,8,5,14,33
57944,2018/9/2 12:52:51,181,8,11,8,5,6,28
50406,2018/3/20 5:35:40,141,5,18,3,3,21,4
78322,2018/5/20 9:52:25,174,8,14,5,6,0,26
73066,2018/9/3 5:53:37,155,7,14,4,5,7,52
72113,2018/7/15 1:01:10,164,5,13,9,2,19,23
98386,2018/10/6 11:26:06,156,2,17,7,4,22,55
53224,2018/8/13 7:40:08,167,6,14,5,7,15,32
53346,2018/7/11 17:14:39,184,8,17,6,4,23,42
74674,2018/2/28 7:50:58,131,4,15,4,3,16,43
81442,2018/10/20 18:35:13,186,13,14,4,4,8,3
56164,2018/8/19 12:58:04,169,4,18,6,5,13,3
48765,2018/11/8 16:14:10,165,8,17,3,5,2,29
06082,2018/4/8 1:00:28,174,6,15,6,6,2,17
21123,2018/3/27 18:45:41,147,8,11,5,3,4,1
35099,2018/1/6 3:04:40,181,8,12,10,1,8,41
36287,2018/1/29 18:05:00,176,11,10,5,6,19,8
31368,2018/11/6 15:08:11,108,5,9,4,2,1,45
58456,2018/7/3 2:28:24,147,6,10,7,3,3,24
77191,2018/6/14 5:21:50,144,6,12,5,4,7,47
86178,2018/6/21 10:24:30,135,7,16,3,1,16,38
13898,2018/6/14 5:12:02,159,7,13,5,5,12,12
68493,2018/5/4 22:49:13,121,3,12,5,3,2,9
66339,2018/6/1 19:48:03,165,6,14,6,5,1,22
65064,2018/2/14 6:31:43,110,6,12,2,2,4,43
40724,2018/6/23 17:34:03,155,10,8,6,3,6,56
35627,2017/12/22 9:26:26,202,11,11,9,4,10,26
69535,2017/12/25 12:13:06,130,9,12,1,4,21,50
40800,2018/3/18 5:15:43,133,4,14,6,1,14,47
70663,2018/1/13 12:57:15,159,8,18,3,3,6,44
58398,2018/8/29 16:12:40,179,10,14,6,3,16,7
92576,2018/5/18 2:42:13,174,12,19,2,2,5,22
77093,2018/4/19 1:13:52,200,13,9,7,6,22,44
58409,2018/4/14 2:35:43,132,10,16,1,0,0,1
73075,2018/3/15 11:13:24,164,7,20,4,2,5,3
06136,2018/2/8 21:51:46,128,7,9,5,2,7,44
23650,2018/10/25 10:45:26,177,9,16,3,7,5,8
28267,2018/7/3 22:57:30,157,6,16,4,5,16,45
44662,2018/3/8 10:31:21,137,5,6,6,7,20,10
13363,2018/9/28 18:04:43,228,12,22,6,4,17,29
07761,2018/2/14 7:47:36,181,9,13,5,7,22,8
16949,2018/7/4 2:57:03,173,9,10,8,3,6,19
56114,2018/5/29 3:39:19,177,8,11,10,1,4,56
20624,2018/8/8 12:48:55,196,11,11,7,6,1,47
96018,2018/3/17 14:26:59,170,10,13,6,2,8,59
07130,2018/10/25 4:52:51,134,8,12,1,6,7,13
16504,2018/3/4 22:32:14,172,10,9,7,4,8,8
84337,2018/11/14 17:34:34,176,9,13,5,6,7,28
73993,2018/10/6 11:43:26,118,10,10,1,2,21,36
15572,2017/11/28 18:01:48,151,5,15,7,1,23,36
92485,2018/10/16 9:56:15,135,6,15,3,3,18,30
75042,2018/6/28 9:49:22,121,6,8,6,1,6,10
07789,2018/2/5 4:42:57,175,5,12,9,5,21,44
72279,2018/2/11 4:01:28,160,5,16,7,2,19,4
70831,2018/1/26 7:37:25,183,7,9,10,5,1,36
11372,2018/8/26 13:34:50,154,9,11,7,0,14,32
71462,2018/8/6 19:36:12,189,14,14,3,5,22,44
43996,2017/11/26 15:35:47,162,6,13,8,2,16,7
73180,2018/7/29 0:59:06,147,8,11,5,3,0,45
79211,2018/1/2 23:27:09,142,8,11,5,2,3,19
17474,2017/12/10 2:06:51,159,8,13,3,7,17,38
57987,2017/12/14 16:51:53,176,7,21,5,2,16,17
84174,2018/10/20 9:25:32,161,4,16,6,5,20,24
37547,2018/7/27 11:30:37,179,9,12,9,1,19,51
21750,2018/1/25 16:45:43,178,2,18,8,6,6,22
54194,2018/6/23 22:32:00,142,6,12,6,2,21,57
76618,2018/3/6 17:58:16,170,5,11,7,8,18,3
05018,2018/4/24 9:43:14,200,14,10,7,4,18,58
74712,2018/7/9 15:31:29,211,10,16,9,3,17,38
96926,2018/11/8 6:58:02,151,8,11,3,7,14,39
63703,2018/4/13 14:29:40,177,13,11,5,3,19,26
25138,2017/12/13 5:56:23,174,8,14,5,6,1,36
14846,2018/5/15 23:45:54,178,7,7,11,4,10,5
74946,2018/8/7 14:47:15,115,2,13,2,7,12,20
78770,2018/1/25 21:41:30,169,9,10,5,7,5,10
62136,2018/10/21 20:07:53,100,3,12,3,2,14,53
85162,2018/3/26 4:17:44,166,9,13,5,4,20,20
15019,2018/4/6 13:26:53,157,4,12,5,9,11,20
61834,2018/2/25 11:28:40,191,6,12,9,7,8,10
43784,2018/3/2 4:15:22,188,10,17,5,4,8,9
15238,2018/4/10 19:16:15,154,8,9,5,6,2,33
66264,2018/8/23 16:53:00,151,10,7,6,3,11,49
37911,2018/2/22 14:25:50,224,10,18,9,4,8,34
41111,2018/11/1 11:53:18,206,16,12,4,6,20,24
92238,2018/6/23 10:34:49,172,10,11,6,4,8,45
70491,2018/3/28 0:20:13,158,12,11,4,2,22,47
08698,2018/6/27 7:11:28,140,7,14,4,2,11,53
32050,2018/6/14 21:55:22,139,7,12,3,5,14,51
06697,2018/5/21 23:00:24,157,9,9,4,7,11,39
02278,2018/7/2 16:05:39,137,7,11,2,7,6,25
01238,2018/2/3 12:21:30,173,16,7,3,5,2,16
91705,2018/2/8 19:14:25,162,13,10,3,4,14,12
93507,2018/10/25 18:50:28,184,12,13,5,4,3,48
59790,2018/9/8 16:17:40,164,5,17,7,2,17,1
33201,2018/9/12 1:56:22,182,12,5,10,2,21,31
56592,2018/2/11 3:05:35,218,10,19,9,2,10,55
50445,2017/12/8 4:35:58,188,9,20,3,6,3,40
17091,2018/3/27 22:14:49,177,11,7,6,7,21,1
94703,2018/4/12 3:08:10,131,5,13,3,5,8,23
67456,2018/5/29 9:45:20,129,7,7,3,7,23,44
25733,2018/9/12 2:39:26,131,6,16,2,3,2,27
79182,2018/7/27 2:51:47,150,5,15,5,4,18,50
44131,2018/10/10 13:51:34,146,8,14,4,2,11,10
74386,2018/4/20 15:16:32,130,15,10,0,0,5,49
17116,2018/2/11 20:18:03,174,7,18,5,4,12,17
93029,2018/11/12 9:09:39,164,7,13,5,6,6,36
09936,2018/8/28 19:17:14,174,8,12,6,6,3,7
34763,2018/7/20 1:54:17,140,3,18,5,2,9,31
17532,2018/6/10 8:46:19,181,9,15,4,7,1,56
95923,2018/3/1 1:02:38,227,19,14,4,5,17,58
30707,2018/3/8 14:07:34,145,6,9,6,5,8,30
74299,2018/3/3 12:31:39,167,5,8,10,5,22,54
54694,2018/9/19 4:08:29,150,3,14,7,4,19,26
70210,2017/11/22 11:09:15,122,5,9,2,8,23,33
50815,2018/4/4 13:47:01,155,7,12,5,5,10,5
65475,2018/11/8 9:29:51,153,10,12,5,1,14,58
94035,2018/3/11 3:52:51,190,10,14,8,2,19,56
29468,2018/6/13 18:20:15,171,4,18,5,7,8,37
52026,2018/4/25 7:57:06,220,16,8,9,4,13,27
75075,2018/9/15 7:36:34,164,14,11,2,4,21,16
25313,2018/5/9 14:35:26,177,8,12,7,5,9,40
96833,2018/9/3 22:19:18,105,5,11,2,3,8,38
49589,2018/5/16 11:17:24,177,14,7,5,5,22,56
64103,2018/3/10 9:19:57,196,15,8,8,2,8,4
38426,2017/12/22 13:24:39,124,5,13,4,2,11,45
97949,2018/9/18 7:26:27,195,13,14,7,1,5,25
18524,2018/10/1 22:46:19,154,6,8,7,6,0,39
49647,2018/4/14 17:46:51,203,10,8,12,3,23,14
16309,2018/8/21 21:33:26,116,7,10,3,2,21,22
92403,2018/4/20 20:43:20,100,6,7,2,4,10,3
19305,2018/7/13 17:06:04,155,9,13,3,5,17,12
43329,2018/9/20 8:15:46,124,9,5,5,2,2,47
49482,2018/8/12 21:55:42,150,4,10,7,6,18,11
14082,2018/11/5 3:30:54,261,15,16,9,7,8,12
98171,2017/12/2 12:44:53,174,12,3,10,2,12,20
70281,2018/5/15 4:18:28,192,17,10,5,2,12,43
69349,2018/2/26 18:37:57,95,5,11,2,1,8,21
97416,2017/12/10 3:54:12,163,8,12,4,7,19,46
41134,2018/8/19 15:48:43,204,13,16,4,6,4,43
00840,2018/10/24 21:54:59,165,10,12,4,5,1,44
20296,2018/2/27 1:31:47,107,7,8,1,5,11,38
78666,2018/2/3 6:29:01,233,15,17,5,7,23,27
70671,2018/6/22 9:54:10,160,9,13,3,6,8,16
08768,2018/3/12 22:54:22,128,6,10,4,4,2,53
00735,2018/10/16 13:27:36,156,12,12,2,4,16,39
75860,2018/3/20 1:47:19,176,9,22,3,2,1,11
98986,2017/12/4 11:03:26,148,8,11,2,8,5,51
64707,2017/12/22 2:47:53,153,12,17,1,1,22,2
76852,2018/9/1 13:29:24,134,2,13,5,6,6,45
85845,2018/3/2 2:42:02,218,8,16,12,2,23,43
87456,2018/4/1 10:07:33,130,4,12,6,2,13,1
55417,2018/7/29 8:47:10,138,8,8,6,2,8,51
29483,2018/7/24 18:24:21,162,11,11,4,4,0,14
40451,2018/10/1 18:27:36,123,4,11,5,3,15,18
28868,2018/5/6 6:11:01,147,10,10,4,3,23,44
10865,2018/2/16 16:32:24,192,13,14,6,2,11,8
30019,2018/1/28 12:03:42,132,3,15,3,6,8,38
33282,2018/11/13 1:19:06,119,7,7,3,5,15,50
94932,2018/9/8 4:41:24,147,8,15,3,3,22,13
04093,2018/4/5 6:21:16,155,11,9,6,1,13,7
38334,2018/4/8 13:34:34,226,11,13,11,4,13,40
69956,2018/10/6 9:40:54,149,9,10,5,3,17,30
96074,2017/12/30 23:51:21,103,6,9,2,3,15,55
24511,2018/7/6 22:03:36,183,9,10,8,5,4,36
40795,2018/9/8 10:19:43,126,7,14,1,4,6,20
71466,2018/4/4 8:58:23,128,5,7,5,6,1,58
19289,2018/6/4 10:36:52,194,9,14,8,4,5,22
42206,2018/2/25 22:50:44,182,10,16,6,2,2,5
84943,2018/4/30 11:17:04,140,11,12,2,2,2,9
83170,2018/4/18 19:14:49,163,6,15,4,7,12,3
84337,2018/3/8 11:48:42,152,4,14,4,8,12,51
73227,2018/2/16 6:07:57,148,7,8,8,2,22,46
32663,2018/2/10 20:05:39,158,8,9,8,2,20,47
21554,2018/7/21 5:33:51,103,7,10,2,1,22,54
56804,2018/6/1 4:29:16,124,7,6,6,2,0,25
33152,2018/1/15 12:50:26,124,8,8,3,4,1,42
53163,2018/10/3 6:01:42,151,10,4,5,7,4,2
02822,2018/1/4 0:37:15,216,10,15,7,8,1,32
20595,2018/9/11 10:38:38,204,9,18,6,6,17,21
19641,2018/8/22 2:43:40,165,6,13,9,1,6,53
45044,2018/4/24 21:40:56,145,7,12,5,3,14,8
31963,2017/12/15 20:29:42,153,5,16,3,7,7,31
19779,2018/2/3 13:01:35,167,6,16,4,7,19,59
